用户ID,出生日期,性别
2757,2013/3/11,女
243385,2011/7/10,男
330830,2009/10/7,男
415971,2012/11/11,男
645557,2012/2/7,男
929851,2011/4/3,男
1372572,2012/1/30,女
1567601,2012/7/7,男
10339332,2011/9/10,男
10405255,2012/2/14,男
10502300,2012/5/4,男
10642245,2013/2/13,男
10923201,2011/8/30,女
11461439,2013/3/7,女
11503702,2012/8/26,女
11768880,2012/1/7,女
12155387,2009/8/5,女
12519465,2013/7/5,女
12576056,2011/6/11,男
12631429,2013/4/8,女
12950574,2009/7/8,男
13101455,2011/8/19,男
13503298,2012/9/28,男
13735440,2012/3/23,男
13802003,2011/10/22,女
13848376,2014/8/21,女
14304064,2010/6/1,女
14342858,2011/2/7,男
14510892,2014/8/12,女
14785577,2008/8/20,男
14905422,2011/4/29,女
15108904,2012/12/14,女
15786531,2008/9/22,男
16031078,2012/3/25,男
16033918,2013/10/24,未知
16265490,2009/12/9,男
16992440,2012/5/16,男
17289460,2010/12/11,女
17431245,2011/1/15,男
17830874,2013/9/27,未知
18190851,2011/1/1,男
18382012,2009/5/30,女
20087991,2010/8/8,男
20451388,2012/1/29,女
20570454,2008/10/17,女
20995405,2011/11/14,男
21137271,2011/2/4,女
21185033,2006/4/7,女
21415917,2006/8/1,女
21647086,2009/3/14,男
21838963,2014/3/10,男
21887268,2010/5/26,男
22337360,2004/9/12,男
22602471,2009/6/1,女
22733878,2009/1/16,女
22775189,2012/4/19,男
23086954,2011/10/8,男
23208537,2008/4/16,女
23256752,2012/7/12,女
23779676,2010/1/9,女
23927133,2008/10/29,男
24079156,2010/12/31,女
24466085,2011/9/3,男
24829944,2014/8/26,女
25176194,2014/9/13,女
25526539,2014/3/9,女
25807593,2014/11/22,女
26184254,2012/12/21,男
26188351,2010/3/29,男
26629842,2013/11/24,男
27213666,2008/4/13,男
27488537,2009/6/16,男
27595882,2010/3/29,女
30438040,2003/10/17,男
30595206,2007/9/18,男
31036295,2012/2/5,女
31235454,2011/3/19,男
31465015,2012/6/1,女
31795068,2007/11/24,男
32418211,2009/9/29,女
32802731,2005/11/30,男
32950783,2013/10/25,男
33062883,2010/8/14,女
33580636,2011/1/2,男
33702305,2013/3/18,男
34296803,2009/4/14,男
34582044,2012/11/1,男
34911780,2010/3/2,女
35009662,2012/11/24,女
35497496,2009/10/20,女
35831517,2011/7/8,男
35832151,2009/4/1,女
36134771,2014/11/17,女
36789289,2013/6/11,男
37050995,2012/10/22,男
37273026,2012/2/12,女
37613228,2012/3/21,男
38060393,2011/8/1,女
38061660,2011/12/3,女
38130097,2014/1/27,女
39645715,2013/1/22,女
39712478,2013/2/12,男
40183850,2012/6/11,女
40216027,2011/1/24,男
40305507,2011/10/17,女
41338352,2008/1/30,男
41643429,2014/3/22,女
42092374,2015/1/17,女
42558014,2010/7/4,男
42687654,2009/5/15,女
43241697,2012/5/12,男
43270534,2014/4/10,女
44253932,2010/1/13,女
44716356,2013/2/11,男
44732791,2011/8/28,男
45002392,2013/12/12,未知
45661628,2013/10/15,女
45797590,2013/8/18,女
46013049,2014/4/8,女
46239667,2011/9/16,女
46577846,2012/5/18,男
46951908,2009/12/17,女
47138383,2010/12/21,男
47342027,2010/10/8,女
47737028,2012/3/20,女
47742510,2014/7/27,男
47836546,2012/9/1,男
48419732,2010/4/9,男
48621253,2013/1/25,女
48655521,2011/1/1,男
48922355,2011/7/15,男
49008121,2011/3/10,男
49167150,2013/8/18,未知
49551046,2015/4/19,男
49561550,2013/6/4,女
49983255,2014/2/6,未知
49997797,2009/8/16,女
50168231,2009/4/28,男
50238258,2010/12/6,女
50839954,2011/8/11,男
51103674,2011/8/17,男
51150884,2008/11/29,女
51587524,2009/2/2,女
51598634,2011/6/12,男
